SOC code,Job type,Related job titles
5213,Welding trades,Braziers and solderers Pipe welders Plate welders Welding trades not elsewhere classified.
5214,Pipe fitters,Pipe fitters
5221,Metal machining setters and setter-operators,Computer numerical control machine setters and setter-operators Metal machining setters and setter-operators not elsewhere classified.
5222,"Tool makers, tool fitters and markers-out","Tool fitters Tool makers Tool makers, tool fitters and markers-out not elsewhere classified."
5223,Metal working production and maintenance fitters,Automation maintenance technicians Bicycle mechanics Catering equipment technicians Door fitters and makers Gunsmiths Heavy plant maintenance technicians Hydraulic technicians Lift technicians Locksmiths Pump technicians Textile machine technicians Turbine fitters Metal working production and maintenance fitters not elsewhere classified.
5224,Precision instrument makers and repairers,"Calibration and precision instrument technicians Camera and photographic equipment technicians Horologists, watch makers and repairers Optical technicians Precision instrument makers and repairers not elsewhere classified."
5225,Air-conditioning and refrigeration installers and repairers,Air-conditioning and refrigeration installers and repairers
5231,"Vehicle technicians, mechanics and electricians","Auto electricians Car/light vehicle technicians Heavy and large vehicle technicians Motorcycle technicians Motorsport technicians MOT testers Roadside assistance technicians Vehicle technicians, mechanics and electricians not elsewhere classified."
5232,Vehicle body builders and repairers,Vehicle body builders and repairers
5233,Vehicle paint technicians,Vehicle paint technicians
5234,Aircraft maintenance and related trades,Aircraft maintenance and related trades
5235,Boat and ship builders and repairers,Boat and ship builders and repairers
5236,Rail and rolling stock builders and repairers,Rail and rolling stock builders and repairers
5241,Electricians and electrical fitters,Electric vehicle charging point installers Electro-mechanical technicians Installation and maintenance electricians Smart energy experts Solar panel installers Street lighting electrician Electricians and electrical fitters not elsewhere classified.
5242,Telecoms and related network installers and repairers,Telecoms and related network installers and repairers
5243,"Tv, video and audio servicers and repairers","TV, video and audio servicers and repairers"
5244,Computer system and equipment installers and servicers,Computer system and equipment installers and servicers
5245,Security system installers and repairers,Security system installers and repairers
5246,Electrical service and maintenance mechanics and repairers,Electrical service and maintenance mechanics and repairers
